序号,类型,AI工具名称,入口,功能
88,AI音频,讯飞智作,https://www.xfzhizuo.cn,配音_声音定制_虚拟主播_音视频处理
89,AI视频,PixVerse,https://pixverse.ai,文生视频
90,AI视频,绘影字幕,https://huiyingzimu.com,AI字幕_翻译_配音
91,AI视频,万彩微影,https://www.animiz.cn_microvideo,真人手绘视频_翻转文字视频_文章转视频_相册视频工具
92,AI视频,芦笋AI提词器,https://tcq.lusun.com,持AI写稿_隐形提词效果_支持智能跟读
93,AI视频,360快剪辑,https://kuai.360.cn,专业视频剪辑
94,AI视频,万彩AI,https://ai.kezhan365.com,高效_好用的AI写作和短视频创作平台
95,数字人,腾讯智影,https://zenvideo.qq.com,数字人_文本配音_文章转视频
96,数字人,来画,https://www.laihua.com,动画_数字人智能制作
97,数字人,一帧秒创,https://aigc.yizhentv.com,AI视频_数字人_AI作画
98,数字人,万兴播爆,https://virbo.wondershare.cn,数字人_真人营销视频
99,模型训练_部署,火山方舟,https://www.volcengine.com_product_ark,模型训练_推理_评测_精调等全方位功能与服务
100,模型训练_部署,魔搭社区,https://modelscope.cn,阿里达摩院_提供模型探索体验_推理_训练_部署和应用的一站式服务
101,模型训练_部署,文心大模型,https://wenxin.baidu.com,产业级知识增强大模型
102,AI提示词,提示工程指南,www.promptingguide.ai,如何使用提示词来完成不同的任务
103,AI提示词,词魂,https://icihun.com_,AIGC精品提示词库
